corpus,system,seeds_used,test_rows,test_groups,auroc,auroc_sd,bacc,mcc,ece,brier,ms,p95_ms,aurc
frank,fixed::factcc,10,1569,350,0.7421238848818449,0.014332472481450033,0.6645220413780013,0.3248582954069348,0.04170817996300927,0.11984929302572551,20.765779166888766,37.17664334384692,0.1039919860140081
frank,fixed::factkb,10,1569,350,0.8642177564771757,0.010429926982972284,0.7637531733415583,0.45079539554293896,0.0436146010557304,0.1035523123186238,20.85797314671796,37.671870458647604,0.06092623449136497
frank,fixed::hhem,10,1569,350,0.7847173946569233,0.02913709504308206,0.6704354299136377,0.32217663787077394,0.03641560663569644,0.11849932920046916,39.27589303309075,77.02478991034066,0.06820157798988084
frank,fixed::wecheck,10,1569,350,0.8210339162000568,0.009395323250320083,0.7725750628736833,0.41292302586608026,0.033662467452931985,0.11215866543961599,111.06041783206483,214.0141330245323,0.1067453223925319
frank,fixed::factcg,10,1569,350,0.8350298353421277,0.005211554148240383,0.7682983178324001,0.41764590233696497,0.039850498896810395,0.11198424383297786,149.20458483531033,382.4323937496243,0.07954504142313626
frank,fixed::minicheck_dbta,10,1569,350,0.677319801651324,0.019712607639661574,0.621163222454209,0.20124001765626692,0.04495874896720792,0.13494858976958585,140.37261357389937,365.6283743753924,0.22295517777941587
frank,fixed::minicheck_ft5,10,1569,350,0.786778583799943,0.015211394514049285,0.7400376352377338,0.3732786940085696,0.04712826762114356,0.11829549598869174,177.08893072278843,441.0848796973984,0.09570420822783617
frank,fixed::alignscore,10,1569,350,0.8085999039100313,0.005929634921617457,0.7040130907753631,0.3396977698363695,0.05047003683288197,0.12008112423075883,210.80387059157206,509.1234583170264,0.07074894153804528
frank,fixed::lettuce_v2,10,1569,350,0.6395447292872734,0.0002851965916804525,0.6389785695643921,0.2382075286472311,0.021548596375305713,0.12990977230356043,34.90586531193789,63.81051056186627,0.34527362686813867
frank,fixed::granite_guardian_3_1_2b,10,1569,350,0.8266707495017558,0.015447417537324424,0.7381398583562684,0.3932504817786574,0.04464285049540827,0.11376679490474553,145.26151345412336,205.87938257212872,0.07463177862822015
frank,fixed::granite_guardian_3_2_3b_a800m,10,1569,350,0.8204268292682928,0.004790996155418389,0.725229844832495,0.3661995740695712,0.045842536911917794,0.11716898964307736,186.52376984238566,226.4149585599278,0.10011784074100394
frank,fixed::granite_guardian_3_2_8b_factuality,10,1569,350,0.8001304925500617,0.0058060072213238605,0.789203965787226,0.4298355317258532,0.030913622586684102,0.11227577069633829,1041.1390476396327,1211.0916299710075,0.10379380337470452
frank,fixed::granite_guardian_4_1_3b_factuality_lora,10,1569,350,0.8323299741387491,0.007286287608933716,0.7225735800037961,0.37916851261893697,0.04316216339207106,0.11382683412598962,414.793192912824,479.0938876481885,0.08063187732131574
frank,fixed::qwen30_fast,10,1569,350,0.8119663151276454,0.013174537870198701,0.786057612460852,0.42946231330714246,0.035222506984576706,0.11177386482113882,230.67330006185534,284.7892673941227,0.09779448703178517
frank,fixed::qwen30_judge,10,1569,350,0.820116019739964,0.01770026155836509,0.7920346161146435,0.44060852904677084,0.03978823820924303,0.11178215109798964,637.2455644787219,1382.4109644150342,0.09600048968359101
ragtruth,OURS,10,900,150,0.6214303832328387,0.01645805806013748,0.6272930194805194,0.3394455193857415,0.051553828826405926,0.15597562780720722,66.01411445805084,153.764959485996,0.2124860519869479
ragtruth,no_verifier,10,900,150,0.6089822008348794,0.00856628632722965,0.5721634392393321,0.12444223548578873,0.06753873719596447,0.17127086984380296,22.94628106917177,61.5716698433906,0.22889492797106215
ragtruth,fixed::factcc,10,900,150,0.4872659148886827,0.008607544272510455,0.4926281307977737,-0.012601877465227992,0.07650048210516147,0.17984113361892845,33.056812844971624,83.13293342245257,0.3775820344462496
ragtruth,fixed::factkb,10,900,150,0.5560662830473098,0.005589768999735129,0.5256884856215212,0.05258644779016497,0.07339532003610696,0.17603942955704074,32.7621808857463,83.43577900094286,0.351973061669544
ragtruth,fixed::hhem,10,900,150,0.5,0.0,0.5,0.0,0.04536410920586337,0.1725113934944192,266.2694802676285,697.0122885315712,0.44862490871005056
ragtruth,fixed::wecheck,10,900,150,0.7028351113172542,0.003781805221698012,0.6313065282931355,0.24814267401440424,0.060552062101002835,0.15664970769376318,534.6906292758908,1400.3577936764984,0.13945089457002632
ragtruth,fixed::factcg,10,900,150,0.7798871608302411,0.0024937322469138225,0.6892494782003711,0.38626213792630565,0.057345772697450524,0.13889880903042778,233.740264848903,719.8230628411142,0.11110354674497533
ragtruth,fixed::minicheck_dbta,10,900,150,0.6763548672309833,0.0037548425596213913,0.6259696776437847,0.2198230097798485,0.0662494331230741,0.16504749338500962,566.2729475886913,1767.5626538189183,0.237800661682478
ragtruth,fixed::minicheck_ft5,10,900,150,0.7229599083951762,0.005105106013993898,0.6268944225417441,0.3411829792963285,0.06605191806145996,0.14687565426392352,276.72215836134444,697.4941032149507,0.13020740448913568
