pool,k,n_dominating,val_auroc,sd,val_ms,min_share,beta_mode,share__alignscore,share__factcc,share__factcg,share__factkb,share__granite_guardian_3_1_2b,share__granite_guardian_3_2_3b_a800m,share__granite_guardian_3_2_8b_factuality,share__granite_guardian_4_1_3b_factuality_lora,share__hhem,share__lettuce_v2,share__minicheck_dbta,share__minicheck_ft5,share__qwen30_fast,share__qwen30_judge,share__wecheck,rank_by_auroc,eligible,rank_among_eligible
granite_guardian_4_1_3b_factuality_lora+minicheck_ft5+wecheck,3,0,0.7272641803208242,0.010199647647515554,282.21873348027646,0.0,0.1,,,,,,,,0.013821592879184844,,,,0.0,,,0.9861784071208153,277,False,
factkb+granite_guardian_3_2_8b_factuality+qwen30_judge,3,2,0.7272387261910498,0.020410938295392405,746.796842460405,0.0007575879708438024,0.0,,,,0.0007575879708438024,,,0.16463595311089094,,,,,,,0.8346064589182653,,278,False,
factkb+minicheck_ft5+qwen30_judge,3,1,0.7272213029606991,0.014077970740881289,662.5036365261099,0.0017056466662296321,0.0,,,,0.0017056466662296321,,,,,,,,0.031599115115646066,,0.9666952382181243,,279,False,
hhem+minicheck_ft5+wecheck,3,0,0.7270403219354531,0.013516307740780279,286.25575163017595,0.04911116059981799,0.1,,,,,,,,,0.04911116059981799,,,0.08364552489178653,,,0.8672433145083953,280,False,
granite_guardian_3_2_8b_factuality+hhem+wecheck,3,0,0.7269144941512143,0.011966469274439378,283.3680268241013,0.0034026519070077337,0.2,,,,,,,0.0034026519070077337,,0.03557212953215057,,,,,,0.9610252185608417,281,False,
factcc+lettuce_v2+minicheck_ft5,3,0,0.7268710200283133,0.01602282879385541,123.91466388176362,0.10842211092494485,0.1,,0.20310460817341297,,,,,,,,0.6884732809016423,,0.10842211092494485,,,,282,True,65.0
granite_guardian_3_2_3b_a800m+minicheck_ft5+qwen30_judge,3,1,0.7267083168445335,0.01622044958178661,618.3457288214541,0.05721294757586477,0.0,,,,,,0.09295590148852031,,,,,,0.05721294757586477,,0.8498311509356149,,283,False,
factcc+granite_guardian_3_2_8b_factuality+wecheck,3,0,0.7265819421570903,0.01082096665887605,276.02480849836604,0.011347333865680615,0.1,,0.03838621154150681,,,,,0.011347333865680615,,,,,,,,0.9502664545928126,284,False,
hhem+minicheck_ft5+qwen30_judge,3,1,0.7265129804898108,0.011430865580220433,668.247022889718,0.0001890359168241966,0.0,,,,,,,,,0.0001890359168241966,,,0.020430092471484702,,0.979380871611691,,285,False,
factkb+minicheck_dbta+wecheck,3,0,0.7264329006350193,0.010684659718608939,279.1447282449998,0.024206918549264638,0.0,,,,0.05449953767112946,,,,,,,0.024206918549264638,,,,0.9212935437796059,286,False,
factcc+factkb+wecheck,3,0,0.7262206707032951,0.014712453230058807,269.5130075355414,0.0015130101426246833,0.0,,0.0015130101426246833,,0.06169329610388732,,,,,,,,,,,0.936793693753488,287,False,
granite_guardian_3_2_8b_factuality+minicheck_ft5+wecheck,3,0,0.7262103040080775,0.011521638392511739,287.32364683047643,0.00018975332068311195,0.2,,,,,,,0.00018975332068311195,,,,,0.0005663957507858697,,,0.9992438509285311,288,False,
minicheck_dbta+minicheck_ft5+wecheck,3,0,0.7261110668019934,0.011363120573393037,292.307515864726,0.0,0.1,,,,,,,,,,,0.0007561490714689817,0.0,,,0.9992438509285311,289,False,
granite_guardian_3_2_8b_factuality+minicheck_dbta+wecheck,3,0,0.726098586935528,0.011352217570961545,287.38549853856546,0.0003795066413662239,0.2,,,,,,,0.0003795066413662239,,,,0.0005663957507858697,,,,0.9990540976078479,290,False,
granite_guardian_3_2_3b_a800m+granite_guardian_4_1_3b_factuality_lora+qwen30_judge,3,2,0.7259729237504908,0.012639955583596353,664.3460297662723,0.01020089663667673,0.0,,,,,,0.01020089663667673,,0.022155068433557898,,,,,,0.9676440349297654,,291,False,
hhem+minicheck_dbta+wecheck,3,1,0.725938656746694,0.011517140648290389,280.880264084523,0.012678857931940962,0.0,,,,,,,,,0.04675036353259544,,0.012678857931940962,,,,0.9405707785354636,292,False,
factcc+minicheck_dbta+wecheck,3,1,0.7259036595980661,0.009868029963525704,291.467300060487,0.0013232622261137666,0.0,,0.0013232622261137666,,,,,,,,,0.01722182941018014,,,,0.9814549083637061,293,False,
