arm,auroc,auroc_sd,d_auroc_vs_ours,ece,d_ece_vs_ours,brier,aurc,bacc,mcc,ms,d_ms_vs_ours,p95_ms,ms_deterministic,mean_calls,auprc_unsup,n,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0
drop_feature::bm25_mean3,0.8076672587329782,0.007117307022445218,-0.014888841176585288,0.056335179447773255,0.017509249999795813,0.17401881160793384,0.1605447948678659,0.7466420616613909,0.5115849535020429,139.61738783012694,33.46986971981757,248.8236145772938,119.95710718080747,1.0,0.8272005011591046,3236.0,0.7410074165636589,0.7374181502066628,0.7116907466764018,0.8511070180980298,0.618235642391948,0.43947217712415104,124.31806247531165,756.3999742046414,7.166792721420468,0.1957972805933251,0.18501544799176103,0.18940397350993374,0.21108536114329857,0.23286401098901094,0.25899258343634113
drop_retrain::factcc,0.804159466765255,0.004682788931422792,-0.018396633144308505,0.0620157690333875,0.023189839585410058,0.17761708474437699,0.1639744299057983,0.7410211440772512,0.5017497430216784,143.4991362965938,37.351618186284426,247.43006938791078,123.84940434804743,1.0,0.8223613364153828,3236.0,0.7353213844252163,0.7312536353501284,0.7044036605817344,0.8469568625463152,0.6111308466548253,0.4084301546988537,127.77251647260564,733.2898635858078,6.969271260551454,0.19826946847960444,0.1888259526261586,0.19302428256070642,0.21320973348783312,0.239010989010989,0.26467861557478367
drop_retrain::lettuce_v2,0.8000040185496251,0.00287616018865559,-0.02255208135993836,0.05069091939650379,0.011864989948526347,0.17891230716247092,0.160153204349256,0.7340165059055457,0.49928730291174794,158.9447539463593,52.79723583604992,250.3066328630842,139.29600016756027,1.0,0.8264219514613276,3236.0,0.7264833127317676,0.7196474838047211,0.6798065153897911,0.8766479267013771,0.5623445825932505,0.4073367016489714,136.124391560242,576.3454674877905,6.291513130124283,0.18009888751545117,0.19325437693099895,0.21236203090507724,0.2380069524913094,0.2523351648351648,0.27351668726823236
no_verifier,0.7966670723488194,0.0017277034085839346,-0.02588902756074407,0.04076012664990368,0.0019341972019262382,0.18126304033367135,0.15107620812288775,0.7058496878735098,0.4167635521386118,27.304429025398253,-78.84308908491113,66.69980584263992,27.29291416183124,0.0,0.8147004153253791,3236.0,0.7073856613102596,0.70470422718798,0.724576961126492,0.7147479700660931,0.7408525754884547,0.3809758444994929,12.848672390086156,317.1833416803428,36.62409513692883,0.15710754017305315,0.1811534500514933,0.20194260485651214,0.23530320587099265,0.26586538461538456,0.29261433868974046
keep_compact16_3_only,0.7961804642611245,0.025750945058655682,-0.026375635648438922,0.05708440934184864,0.0182584798938712,0.17844605972287775,0.16812579256093477,0.7430626821024899,0.4999055164011188,134.4749773926537,28.32745928234432,240.33563029714327,114.81512295693085,1.0,0.8089188587119794,3236.0,0.740203955500618,0.7365016191104896,0.7299358702065505,0.8103169930885528,0.6779159265837774,0.5183229860269833,117.00541049011277,743.4629275524863,7.757848506901124,0.2019777503090235,0.1909371781668383,0.19068432671081675,0.2122441096948629,0.23087225274725273,0.259796044499382
drop_feature::structured_source_line_ratio,0.7923035015345119,0.008362034737300933,-0.030252598375051565,0.061729155588677774,0.022903226140700332,0.18359491074875672,0.17250405396358498,0.7226958306208123,0.475502171628918,134.5169633880324,28.369445277723017,233.87076189701048,114.85383929337958,1.0,0.8129368572330045,3236.0,0.7162855377008652,0.7084746777691926,0.6761643370407777,0.8485334707662278,0.5766133806986382,0.3656805644340699,109.0338064293931,817.8339435168496,7.707094724369734,0.19103831891223733,0.19938208032955712,0.21130242825607062,0.2372344534569332,0.2700206043956044,0.2837144622991347
target::is_best,0.7878906939193222,0.02020200437771125,-0.03466540599024126,0.05521627124432889,0.016390341796351446,0.1806391725641459,0.17549601453303434,0.7344034730984893,0.493798416311964,130.08637567531173,23.93885756500235,247.87689730866572,110.42818714163236,1.0,0.8120113692224905,3236.0,0.7275339925834363,0.7222122023117407,0.6873049042986762,0.860139256838201,0.5778567199526348,0.40159432862416117,110.29550112281454,734.2487479279198,7.891012550980531,0.219283065512979,0.21864057672502576,0.21584988962472407,0.22773271533410583,0.25291895604395603,0.2724660074165636
keep_base3_only,0.7855924853887449,0.017988663633008436,-0.03696361452081853,0.06259971986768212,0.023773790419704677,0.18585973837128378,0.17706626468961167,0.7231037134077569,0.47140210873674554,134.2555430950318,28.108024984722434,231.24935442771866,114.59417442995016,1.0,0.8089813281046687,3236.0,0.7162546353522867,0.7099472511575532,0.6726442007112005,0.8448304059804681,0.5670219064535228,0.3898906747285146,108.87912768755093,813.121228918181,7.727011155619058,0.19876390605686037,0.20288362512873323,0.22114790286975716,0.23974507531865585,0.26888736263736257,0.2837453646477132
no_stage1,0.7788714994127177,0.004092640245145718,-0.04368460049684575,0.05299731657909038,0.01417138713111294,0.1917350437517062,0.2106288129875466,0.7191410024865255,0.44603654895076056,72.90596538400368,-33.2415527263057,176.3501773180488,53.245817279925824,1.0,0.756676879771378,3236.0,0.7213226205191595,0.7178899653557196,0.7407162940299085,0.7209723089410046,0.7688573120189461,0.45475742872933755,38.0410739831441,786.3388319958492,13.722168668814565,0.1792954264524104,0.1862512873326468,0.1992494481236203,0.23066821166473545,0.25339972527472526,0.2786773794808405
drop_serving::factcc,0.7687883269170491,0.0042910867154657955,-0.05376777299251434,0.09959236287828802,0.060766433430310574,0.19110468378266915,0.21183501335079616,0.741784017883694,0.5083321208196406,117.09494544414395,10.947427333834568,235.37555599069938,97.43371758790084,1.0,0.7803069201541225,3236.0,0.7345179233621757,0.7296653393702826,0.6936331432989701,0.8720054061219502,0.5761989342806395,0.2614676364427547,93.8021952221014,808.070704575526,8.541153960737685,0.30655129789864033,0.2827497425334706,0.26958057395143487,0.2598300502124372,0.2468063186813187,0.2654820766378245
