protocol,seed,rotation,system,n,verifier,features,heads,routing,platt,isotonic
A,17,2,fixed::factcg,881,429.4219011047162,0.0,0.0,0.0,7.925651902512613e-05,3.410782281808327e-05
A,17,2,fixed::minicheck_dbta,881,502.27160334633874,0.0,0.0,0.0,7.593189366161823e-05,3.223609304527047e-05
A,17,2,fixed::minicheck_ft5,881,471.0986385874214,0.0,0.0,0.0,7.693189599051243e-05,3.526900288681674e-05
A,17,2,fixed::alignscore,881,749.9369377083099,0.0,0.0,0.0,7.763905960762033e-05,3.683086440800166e-05
A,17,2,fixed::lettuce_v2,881,76.9307727491862,0.0,0.0,0.0,7.722247180515197e-05,2.6007939397519144e-05
A,17,2,fixed::granite_guardian_3_1_2b,881,178.63121697939874,0.0,0.0,0.0,7.509761138435424e-05,3.615891609539645e-05
A,17,2,fixed::granite_guardian_3_2_3b_a800m,881,246.0041004810514,0.0,0.0,0.0,7.713167512182581e-05,3.3417721775811796e-05
A,17,2,fixed::granite_guardian_3_2_8b_factuality,881,1018.7241669599427,0.0,0.0,0.0,8.005561903288226e-05,2.8677645988263417e-05
A,17,2,fixed::granite_guardian_4_1_3b_factuality_lora,881,448.6751103966043,0.0,0.0,0.0,7.922019704829618e-05,3.174687780663963e-05
A,17,2,fixed::qwen30_fast,881,274.92546800962833,0.0,0.0,0.0,7.693189599051243e-05,3.230873699893035e-05
A,17,2,fixed::qwen30_judge,881,657.8416343690895,0.0,0.0,0.0,7.85845541950235e-05,2.740522057439595e-05
A,17,3,OURS,876,67.77580164030186,33.71937958576855,0.45098578538766904,0.00016509702659879712,0.00016876940839269015,3.9087889527850975e-05
A,17,3,OURS_legacy_hp,876,71.03926446213075,33.71937958576855,0.4890121278827734,0.00016822145237017542,0.0001698276283193941,3.5762560945089275e-05
A,17,3,fixed::factcc,876,41.23606804231916,0.0,0.0,0.0,7.815639311383951e-05,3.366323122031748e-05
A,17,3,fixed::factkb,876,41.504724367677724,0.0,0.0,0.0,7.890410573523678e-05,2.9680358732893177e-05
