protocol,seed,system,n,verifier,features,heads,routing,platt,isotonic
B,7,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.7120210145737134e-05,1.201977405342537e-05
B,11,OURS,3236,79.70987482775493,27.29291416183124,0.031355319531757915,0.00023339184123259476,7.024042196663923e-05,4.2230530388132936e-05
B,11,OURS_legacy_hp,3236,79.88957858427533,27.29291416183124,0.041604398022029074,6.028738862009459e-05,6.540512992184245e-05,1.8487326908460616e-05
B,11,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.8949632319162413e-05,1.0991656059993268e-05
B,11,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.813380770212585e-05,1.2870211183290343e-05
B,11,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.7639370856861893e-05,1.363164149667971e-05
B,11,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.8015139441630987e-05,2.5522867636409747e-05
B,11,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.8039863307491792e-05,2.0257417200080248e-05
B,11,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.8282137406639965e-05,2.1715698081928642e-05
B,11,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.7678925444732323e-05,2.4104141342431786e-05
B,11,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.7580034478172677e-05,2.637855712628298e-05
B,11,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.733745459094183e-05,1.0991345775027026e-05
B,11,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.804449959445114e-05,2.2358779413556524e-05
B,11,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.7901422249945284e-05,2.1181702151910686e-05
B,11,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.9285846316061077e-05,1.60794166389885e-05
B,11,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.7955807559825342e-05,2.2937267509603364e-05
B,11,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.7540479890302247e-05,1.8655438403793516e-05
B,11,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.755531960607901e-05,1.2138748102002905e-05
B,23,OURS,3236,79.72555573005042,27.29291416183124,0.02419799133848597,5.9773174480895415e-05,6.865327838924569e-05,1.6217551908452334e-05
B,23,OURS_legacy_hp,3236,73.28248665976305,27.29291416183124,0.030156800675071194,6.196848108900575e-05,6.408467402449166e-05,2.2309331681834917e-05
B,23,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.8287083978565555e-05,2.2205498640233252e-05
B,23,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.839091702016722e-05,2.3678925025941085e-05
B,23,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.813875427405144e-05,1.3779975698077396e-05
B,23,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.8237636246843948e-05,2.500401721025123e-05
B,23,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.7500929799315386e-05,2.4578800893760525e-05
B,23,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.737206710377024e-05,2.160228667832561e-05
B,23,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.9468788533403605e-05,2.4648021422533783e-05
B,23,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.9463841961478015e-05,2.2556242067942438e-05
B,23,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.7772865342482814e-05,1.0655131778128362e-05
B,23,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.753553781526023e-05,1.994592257215882e-05
B,23,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.7293263716112052e-05,1.937700834122978e-05
B,23,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.734764902599211e-05,1.7226202892915465e-05
B,23,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.7584981050098268e-05,2.490513074057515e-05
B,23,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.7614646991001088e-05,1.8793879461340028e-05
B,23,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.9162235980524194e-05,1.2054701348103591e-05
B,31,OURS,3236,76.24168779426829,27.29291416183124,0.03102089369362905,6.261618971382584e-05,6.972620782744006e-05,1.615327795160467e-05
B,31,OURS_legacy_hp,3236,73.38446880166165,27.29291416183124,0.03082447620492218,6.225030977602435e-05,6.61069225653435e-05,1.7177069943043668e-05
B,31,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.918201327445941e-05,1.8694997488547518e-05
B,31,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.8489803489843298e-05,1.8185720927506795e-05
B,31,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,3.0413161064135497e-05,1.3320457153724523e-05
B,31,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.953306698713484e-05,2.2516687480072008e-05
B,31,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.7950865484783323e-05,2.390636390619606e-05
B,31,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,3.0170891461870893e-05,1.9486093742839706e-05
B,31,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.7911306400029322e-05,2.3515454314451098e-05
B,31,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.7901422249945284e-05,2.1493201276715685e-05
