system,coverage,selective_error
OURS_legacy_hp,0.1,0.008950617283950657
OURS_legacy_hp,0.12000000000000001,0.007474226804123685
OURS_legacy_hp,0.13999999999999999,0.0064017660044150436
OURS_legacy_hp,0.16,0.009459459459459441
OURS_legacy_hp,0.18,0.022336769759450193
OURS_legacy_hp,0.19999999999999998,0.045595054095826884
OURS_legacy_hp,0.22,0.08426966292134833
OURS_legacy_hp,0.24,0.11222651222651221
OURS_legacy_hp,0.26,0.12449464922711058
OURS_legacy_hp,0.28,0.13035320088300223
OURS_legacy_hp,0.30000000000000004,0.13728115345005149
OURS_legacy_hp,0.32,0.141023166023166
OURS_legacy_hp,0.34,0.1419090909090909
OURS_legacy_hp,0.36000000000000004,0.14343347639484977
OURS_legacy_hp,0.38,0.14723577235772362
OURS_legacy_hp,0.4,0.1473724884080371
OURS_legacy_hp,0.42000000000000004,0.14716703458425312
OURS_legacy_hp,0.44,0.14599719101123593
OURS_legacy_hp,0.46,0.14519811954331766
OURS_legacy_hp,0.48000000000000004,0.14578235672891177
OURS_legacy_hp,0.5,0.1495055624227441
OURS_legacy_hp,0.52,0.1516934046345811
OURS_legacy_hp,0.54,0.1549513451631368
OURS_legacy_hp,0.56,0.15794701986754964
OURS_legacy_hp,0.5800000000000001,0.1571124134256793
OURS_legacy_hp,0.6,0.1565911431513903
OURS_legacy_hp,0.62,0.1585742771684945
OURS_legacy_hp,0.64,0.16450989859971027
OURS_legacy_hp,0.66,0.17027153558052435
OURS_legacy_hp,0.68,0.1752272727272727
OURS_legacy_hp,0.7000000000000001,0.1827814569536424
OURS_legacy_hp,0.7200000000000001,0.19017167381974248
OURS_legacy_hp,0.74,0.19741127348643003
OURS_legacy_hp,0.76,0.20357869052460353
OURS_legacy_hp,0.78,0.2103407290015848
OURS_legacy_hp,0.8,0.21888760139049826
OURS_legacy_hp,0.8200000000000001,0.22528259231348904
OURS_legacy_hp,0.8400000000000001,0.2271891096394408
OURS_legacy_hp,0.86,0.22824290334171757
OURS_legacy_hp,0.88,0.23096910112359553
OURS_legacy_hp,0.9,0.23410027472527473
OURS_legacy_hp,0.92,0.2413167618407793
OURS_legacy_hp,0.9400000000000001,0.24957264957264957
OURS_legacy_hp,0.9600000000000001,0.2594785967170904
OURS_legacy_hp,0.98,0.26496373383790606
OURS_legacy_hp,1.0,0.26987021013597035
fixed::factcc,0.02,0.32
fixed::factcc,0.04,0.4263565891472868
fixed::factcc,0.06,0.47268041237113395
fixed::factcc,0.08,0.4752895752895753
fixed::factcc,0.1,0.4601851851851852
fixed::factcc,0.12000000000000001,0.4765463917525773
fixed::factcc,0.13999999999999999,0.49403973509933774
fixed::factcc,0.16,0.49382239382239385
fixed::factcc,0.18,0.4965635738831615
fixed::factcc,0.19999999999999998,0.49180834621329217
fixed::factcc,0.22,0.49775280898876406
fixed::factcc,0.24,0.49974259974259977
fixed::factcc,0.26,0.505588585017836
fixed::factcc,0.28,0.5107064017660043
fixed::factcc,0.30000000000000004,0.5192584963954686
fixed::factcc,0.32,0.520752895752896
fixed::factcc,0.34,0.5193636363636364
fixed::factcc,0.36000000000000004,0.5167381974248927
fixed::factcc,0.38,0.5120325203252033
fixed::factcc,0.4,0.5071097372488408
fixed::factcc,0.42000000000000004,0.5002207505518764
fixed::factcc,0.44,0.4974719101123595
fixed::factcc,0.46,0.4949630624580255
fixed::factcc,0.48000000000000004,0.49407598197037983
fixed::factcc,0.5,0.49542645241038324
fixed::factcc,0.52,0.4947712418300654
fixed::factcc,0.54,0.4932455638236977
fixed::factcc,0.56,0.49050772626931555
fixed::factcc,0.5800000000000001,0.4893979754928076
fixed::factcc,0.6,0.490010298661174
fixed::factcc,0.62,0.4888334995014956
fixed::factcc,0.64,0.48903911154031876
fixed::factcc,0.66,0.49283707865168536
fixed::factcc,0.68,0.4925
fixed::factcc,0.7000000000000001,0.4870198675496688
fixed::factcc,0.7200000000000001,0.48150214592274676
fixed::factcc,0.74,0.4791231732776618
fixed::factcc,0.76,0.47254981699877996
fixed::factcc,0.78,0.46513470681458
fixed::factcc,0.8,0.46098879876400156
fixed::factcc,0.8200000000000001,0.4596834966088922
fixed::factcc,0.8400000000000001,0.4601913171449595
fixed::factcc,0.86,0.4624865253323751
fixed::factcc,0.88,0.46408005617977527
fixed::factcc,0.9,0.4648695054945054
fixed::factcc,0.92,0.4669129996640914
fixed::factcc,0.9400000000000001,0.46469428007889535
fixed::factcc,0.9600000000000001,0.4642420341165111
fixed::factcc,0.98,0.4642068748029013
fixed::factcc,1.0,0.4680160692212608
fixed::factkb,0.02,0.0
fixed::factkb,0.04,0.013953488372093027
fixed::factkb,0.06,0.01030927835051545
fixed::factkb,0.08,0.011196911196911208
fixed::factkb,0.1,0.012037037037037046
fixed::factkb,0.12000000000000001,0.012628865979381444
fixed::factkb,0.13999999999999999,0.01192052980132451
fixed::factkb,0.16,0.010424710424710404
fixed::factkb,0.18,0.01116838487972508
fixed::factkb,0.19999999999999998,0.010200927357032463
fixed::factkb,0.22,0.01573033707865167
fixed::factkb,0.24,0.03925353925353923
fixed::factkb,0.26,0.06789536266349584
fixed::factkb,0.28,0.09238410596026489
fixed::factkb,0.30000000000000004,0.1145211122554068
fixed::factkb,0.32,0.13455598455598458
fixed::factkb,0.34,0.1589090909090909
fixed::factkb,0.36000000000000004,0.1781974248927039
fixed::factkb,0.38,0.19406504065040647
fixed::factkb,0.4,0.2061823802163833
