system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
fixed::factcc,youden,False,0.588857700705478,0.5345277255639098,0.5232648250447944,0.04688938964004961,0.5224163410478507,0.4490922414014514,0.4555016848712272,0.4451949478308622,0.5323734984388162,0.019723911366617976,0.2454351349850627,0.42130922114770764
fixed::factcc,conformal,False,0.6165334936197949,0.48901550751879697,0.5172015116815343,0.03699270327402437,0.4799142250012549,0.5435275505839066,0.44021704954972646,0.7125755079626578,0.5323734984388162,0.019723911366617976,0.2454351349850627,0.47416759813198245
fixed::factkb,fixed05,False,0.5,0.6993890977443609,0.6553041912345925,0.40727800248669455,0.6420734096918957,0.49885231569109506,0.8701186527543128,0.349725425590335,0.674319754585731,0.02501222345197566,0.19998724267979776,0.21426523675253
fixed::factkb,mcc,True,0.4612139244559708,0.6997415413533835,0.6527216131218377,0.4209321615141314,0.635389714642372,0.4822166130728413,0.9198157891698647,0.3267984623833059,0.674319754585731,0.02501222345197566,0.19998724267979776,0.2143904427786702
fixed::factkb,youden,False,0.6166510749927969,0.6939027255639098,0.6556745058506338,0.37677984209164317,0.6484155280689246,0.5219930903275245,0.7871314890232488,0.3906919275123559,0.674319754585731,0.02501222345197566,0.19998724267979776,0.214479481832841
fixed::factkb,conformal,False,0.7034667442091126,0.5485432330827067,0.5727239585623802,0.15201906171262142,0.5439680467565412,0.583757884926034,0.4830896333687428,0.7403349807797913,0.674319754585731,0.02501222345197566,0.19998724267979776,0.29330788812228314
fixed::hhem,fixed05,False,0.5,0.6425399436090226,0.5953375179149936,0.25805544289787136,0.5689572783680109,0.3908860421752394,0.7216943460229437,0.26814936847885773,0.6245252597180736,0.017385551818783616,0.22438458823300672,0.29203407115632674
fixed::hhem,mcc,True,0.456803217744101,0.6369595864661655,0.583994116101562,0.2553976873512089,0.5439637308650803,0.33806886132812075,0.7697544582258453,0.21685886875343222,0.6245252597180736,0.017385551818783616,0.22438458823300672,0.29314313525225455
fixed::hhem,youden,False,0.6084273699183018,0.6281602443609023,0.596306342725244,0.21613431165068908,0.5893938939661654,0.4633932634226494,0.6062835118877775,0.3755079626578803,0.6245252597180736,0.017385551818783616,0.22438458823300672,0.29336751230839064
fixed::hhem,conformal,False,0.6661324533282316,0.5410361842105263,0.560015262277761,0.12287632848141647,0.5391061665119329,0.5629109710158919,0.47547794598774135,0.691570565623284,0.6245252597180736,0.017385551818783616,0.22438458823300672,0.3515804734187549
fixed::wecheck,fixed05,False,0.5,0.7027608082706768,0.6716028887257605,0.3875594302750955,0.6704913034068902,0.5673960379666896,0.7521086954873041,0.4556287753981329,0.7333738119159656,0.02146795789850893,0.1958114452607409,0.1908399618177885
fixed::wecheck,mcc,True,0.4761416852223911,0.6985079887218045,0.660349961153641,0.3884286747792575,0.6534708491951684,0.5286785296739062,0.7989242848959943,0.3958539264140582,0.7333738119159656,0.02146795789850893,0.1958114452607409,0.19150885854385574
