arm,auroc,auroc_sd,d_auroc_vs_ours,ece,d_ece_vs_ours,brier,aurc,bacc,mcc,ms,d_ms_vs_ours,p95_ms,ms_deterministic,mean_calls,auprc_unsup,n,acc,f1_macro,f1_unsup,prec_unsup,rec_unsup,mce,p50_ms,p99_ms,qps,selerr@0.5,selerr@0.6,selerr@0.7,selerr@0.8,selerr@0.9,selerr@1.0
no_stage1,0.7609787309136957,0.0019732083238903045,-0.032321633757204093,0.02162115928263639,7.725218567074255e-06,0.19075565795969757,0.21145517355276286,0.7213733569230527,0.4391582058785993,90.73483947782935,-21.807873850555964,287.92047036864983,66.38216201802922,1.0,0.6911910336879583,8512.0,0.721264097744361,0.7181971545975137,0.6890917395392167,0.659251265290031,0.7221306974190006,0.14932942887609316,45.72158556921976,934.1246189121206,11.022605927699992,0.1994125939849624,0.20415116506755432,0.2163477677072843,0.23251101321585904,0.2569899490928077,0.2787359022556391
no_cost,0.7574179744189115,0.002219210149855712,-0.03588239025198836,0.02195471819475205,0.0003412841306827327,0.18640985125313053,0.1766507254040548,0.6943370127431844,0.4429562342400848,189.59140536808076,77.04869203969544,393.68360278161344,165.24279869115156,1.0,0.7513420457597156,8512.0,0.7260573308270677,0.6947783865467756,0.5970879731469704,0.8054902932648783,0.47446457990115326,0.1309397514763432,147.65547190266722,1228.926078249288,5.274516034383328,0.1962171052631579,0.20763657724691603,0.218445787176905,0.23293685756240823,0.25140321106905106,0.2739426691729323
drop_retrain::factcc,0.7548729910117757,0.001775058987854125,-0.038427373659124076,0.020464781132522907,-0.0011486529315464095,0.1880739334695067,0.18115359240001577,0.6939215483966997,0.4357155656579782,189.58123290301006,77.03851957462474,430.6711012603344,165.3826614747416,1.0,0.7460119625361529,8512.0,0.7240014097744362,0.6948840712956342,0.6006810062163649,0.7884664858906272,0.48542009884678744,0.1319045181404998,143.65457188555365,1231.6757520947083,5.278983436465933,0.20115131578947368,0.21441159193264148,0.2253272910372608,0.23663729809104259,0.25363529565330906,0.27599859022556394
no_verifier,0.749253053301264,0.0014190175046478056,-0.0440473113696358,0.020160560889816104,-0.001452873174253213,0.19207271971655837,0.18493955596505296,0.6645949153555317,0.3982139556645089,33.37473582127049,-79.16797750711483,95.171201602281,33.22136512419524,0.0,0.7310958129190035,8512.0,0.7025493421052632,0.6583624120728854,0.5356222247833454,0.8074752771312349,0.40151015925315764,0.14609036287160646,14.359695646494313,430.96804973557863,29.9627843628175,0.1893092105263158,0.21071078911298216,0.23094998321584423,0.25168869309838476,0.2752512726798068,0.2974506578947368
drop_retrain::lettuce_v2,0.7429985639814756,0.002044064497755969,-0.05030180068942425,0.022664502429792156,0.0010510683657228397,0.19307666242167437,0.18400830297819676,0.6689877789016346,0.40796885326249105,189.6050994037043,77.06238607531897,384.5232792761611,165.411498616764,1.0,0.7325111171597021,8512.0,0.7066846804511278,0.6634673554779115,0.5429779801910938,0.8152305011584347,0.4076880834706206,0.12090971050174656,149.27007174334796,1213.7348987765697,5.275529742534792,0.1961936090225564,0.21652633640101823,0.2366230278616986,0.2568135095447871,0.27521211330113565,0.2933153195488722
drop_serving::factcc,0.7262707749087476,0.004633420160963862,-0.06702958976215223,0.08488320902352549,0.06326977495945617,0.19439664873300186,0.19505251046444907,0.7053118195544339,0.4656460189094613,129.83123814710797,17.28852481872265,413.94734158771934,105.48112336065178,1.0,0.7271485564212916,8512.0,0.736266447368421,0.7069358217837989,0.6142281424523868,0.8208377415522088,0.49074684239428884,0.24689550296925256,71.48652170919055,1221.6773358429618,7.702607101205045,0.23226033834586465,0.2387507342862738,0.2480194696206781,0.2566226138032305,0.2589870774050385,0.26373355263157894
drop_serving::lettuce_v2,0.6976417666579839,0.010790401441124352,-0.09565859801291587,0.11410737253099168,0.09249393846692236,0.2177675722691023,0.24206112088497936,0.6177446052048483,0.23422444917667073,125.00212937285224,12.45941604446692,338.92083021054657,100.65072296536843,1.0,0.6902205909648611,8512.0,0.6158482142857143,0.6126922472415772,0.5835553613672837,0.5456084011989024,0.6308896210873147,0.25833735019255694,84.07729744264911,1022.2588634170795,8.015958202828998,0.2858787593984963,0.3255140003916194,0.3463746223564955,0.3620851688693099,0.37177914110429444,0.38415178571428565
drop_retrain::granite_guardian_3_1_2b,0.6943706213274969,0.002307264091497015,-0.09892974334340288,0.0208472804022558,-0.0007661536618135158,0.21044681053633912,0.24956685475741547,0.6354093470316082,0.3116883183070738,88.88501538871887,-23.65769793966645,283.81661139273234,64.68935867472597,1.0,0.6587761039750942,8512.0,0.6691611842105264,0.6296830309341781,0.5090317968479268,0.698889381337725,0.4014552443712246,0.4097044943649556,46.247432037913576,843.7072661956815,11.250779222859833,0.25843515037593984,0.26083806540043075,0.2694528365223229,0.29004405286343615,0.3107166166296828,0.3308388157894737
drop_serving::granite_guardian_3_1_2b,0.6908636492799609,0.0016744423061257803,-0.1024367153909389,0.06676093612558881,0.04514750206151949,0.21518470102531748,0.2656459933681015,0.6422441073625409,0.31340408704899614,90.85464878173872,-21.6880645466466,289.9955651454992,66.50589309293483,1.0,0.6561587678057741,8512.0,0.6707589285714286,0.6401312266043372,0.5355044816501299,0.6762284166151725,0.44459088412959913,0.2827176733592395,46.93952046761732,858.1357506183307,11.006681059762018,0.2723684210526316,0.27554337184256905,0.2683954347096341,0.28723935389133626,0.3074663881999739,0.32924107142857145
random_routing_refit,0.6500514897494098,0.0064327089052982345,-0.14324887492148997,0.02638258829711247,0.004769154233043152,0.22293903542750063,0.2778928328268437,0.5951986689624922,0.25214245812213376,131.67830175475808,19.135588426372763,357.4020164787611,107.32577408968328,1.0,0.6152417347961737,8512.0,0.6408599624060151,0.5711253281590581,0.3984306238010893,0.7064198593207522,0.27869302580999455,0.17405681569838657,76.07359614026856,1119.838913444024,7.5965457539966605,0.2984257518796992,0.3104366555707852,0.32306143001007054,0.3363582966226138,0.3471609450463386,0.35914003759398494
random_routing_serving,0.643514620100651,0.006753737392922355,-0.14978574457024885,0.12598763944675975,0.10437420538269043,0.2428147666481279,0.2967343176624099,0.594924511770616,0.1948414471990056,126.26138661925602,13.718673290870697,351.66411734234805,101.91154160266686,1.0,0.6004504295272075,8512.0,0.6110432330827068,0.5945493580060506,0.5143286207147331,0.5532968190599089,0.48319604612850087,0.22147132938235137,66.5833470575851,1106.019706635289,7.921819680257462,0.3026315789473685,0.3166242412375171,0.343689157435381,0.363215859030837,0.3772875603707088,0.38895676691729325
