protocol,seed,rotation,beta,val_auroc,val_ms
A,43,4,2.4,0.5013828004865621,73.09832901268064
A,43,4,3.2,0.5013828004865621,73.09832901268064
A,43,5,0.0,0.7638616498389869,150.47922002421166
A,43,5,0.1,0.8011700685213433,74.92196696871255
A,43,5,0.2,0.8007614827728142,71.02312650425891
A,43,5,0.4,0.7187265441514733,63.87585685277884
A,43,5,0.6,0.6129331008934408,53.914039969105666
A,43,5,0.8,0.5493087334447109,44.706856368586585
A,43,5,1.2,0.530126389191545,44.15191846978244
A,43,5,1.6,0.5240490545023123,43.92318821311662
A,43,5,2.4,0.5240490545023123,43.92318821311662
A,43,5,3.2,0.5240490545023123,43.92318821311662
A,43,6,0.0,0.7504534821171673,185.0072321256708
A,43,6,0.1,0.7794763376158724,100.52285879769572
A,43,6,0.2,0.7798703979383765,94.51443361726064
A,43,6,0.4,0.7373337753480866,84.72295619601053
A,43,6,0.6,0.5838034952525113,75.30919003215533
A,43,6,0.8,0.5159406782841488,68.28283518739389
A,43,6,1.2,0.5264458260880444,68.09960016059206
A,43,6,1.6,0.5269837497028911,67.7251015569034
A,43,6,2.4,0.5269837497028911,67.7251015569034
A,43,6,3.2,0.5269837497028911,67.7251015569034
A,43,7,0.0,0.7685144489616527,178.48473092974004
A,43,7,0.1,0.8158505170371998,104.42026703908158
A,43,7,0.2,0.8054914600349168,89.0413444857842
A,43,7,0.4,0.7581889658035137,78.00819619988964
A,43,7,0.6,0.6132445762980869,68.23962126480927
A,43,7,0.8,0.5127611129424117,57.82682643582235
A,43,7,1.2,0.5283821069723718,56.989726551777785
A,43,7,1.6,0.5279609078367457,56.74520337550184
A,43,7,2.4,0.5310802231744985,56.652008332889224
A,43,7,3.2,0.5310802231744985,56.652008332889224
A,43,8,0.0,0.7901361819090454,152.17380523880942
A,43,8,0.1,0.8052536231884058,79.03599871157171
A,43,8,0.2,0.7996845327336333,72.57420286847473
A,43,8,0.4,0.7654172913543229,66.47183744682054
A,43,8,0.6,0.5885807096451774,54.54959773195347
A,43,8,0.8,0.5234882558720639,48.15352847806854
A,43,8,1.2,0.5218140929535232,47.695931971688466
A,43,8,1.6,0.527492503748126,47.101136386997155
A,43,8,2.4,0.5269802598700649,47.086001571186685
A,43,8,3.2,0.5269802598700649,47.086001571186685
A,43,9,0.0,0.7664493890335714,167.49623955485862
A,43,9,0.1,0.7994040094830519,102.00767004377147
A,43,9,0.2,0.7849890599696421,90.15592566567777
A,43,9,0.4,0.7432468791723144,78.40769442074296
A,43,9,0.6,0.648147302051446,67.41762651329607
A,43,9,0.8,0.5732626673367752,57.67297604737515
A,43,9,1.2,0.5977800114730712,56.42478973520935
A,43,9,1.6,0.5927795799637532,55.92146242812695
A,43,9,2.4,0.5924902148916403,55.906466413781736
A,43,9,3.2,0.5924902148916403,55.906466413781736
A,7,0,0.0,0.7788731667010947,160.83622618478944
A,7,0,0.1,0.7905004131377815,98.7195843112353
A,7,0,0.2,0.7889382359016731,93.18614937322592
A,7,0,0.4,0.7513375335674448,84.32736656538134
A,7,0,0.6,0.6221028713075811,73.57660754353559
A,7,0,0.8,0.5695724023961992,65.89364038560043
A,7,0,1.2,0.5680076430489569,65.82904782092123
A,7,0,1.6,0.5552597603800868,65.06518823301496
A,7,0,2.4,0.5546865317083247,65.03893872241512
A,7,0,3.2,0.5546865317083247,65.03893872241512
A,7,1,0.0,0.7465951598569863,157.01603826387935
A,7,1,0.1,0.7510695021390043,82.70029914048456
A,7,1,0.2,0.7535107570215139,72.81773105608177
A,7,1,0.4,0.7266595366524066,65.0178451554519
A,7,1,0.6,0.5710779754892843,56.40238959237022
A,7,1,0.8,0.5249343832020997,50.216394003319735
A,7,1,1.2,0.5258798850931036,49.98715276709358
A,7,1,1.6,0.519762539525079,49.746976511847436
A,7,1,2.4,0.5218292103250873,49.74067643074556
A,7,1,3.2,0.5218292103250873,49.74067643074556
A,7,2,0.0,0.793583424607521,166.20978652381464
A,7,2,0.1,0.8130167729742499,99.0470867074875
A,7,2,0.2,0.7939297296136417,82.90814421854036
A,7,2,0.4,0.7371464467495651,74.29364657205335
A,7,2,0.6,0.6245892661555312,62.2585693605171
A,7,2,0.8,0.556246375877843,54.33611703063084
A,7,2,1.2,0.556853080772287,53.905347786969806
A,7,2,1.6,0.5406975495565148,53.31894505497735
A,7,2,2.4,0.5379459012520671,53.25778516518366
A,7,2,3.2,0.5379459012520671,53.25778516518366
A,7,3,0.0,0.7401663201663202,177.80177019755183
A,7,3,0.1,0.8086403326403326,96.2831325491139
A,7,3,0.2,0.8050561330561331,81.98235522680666
