system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
fixed::factcc,conformal,False,0.6641401611893142,0.5508961681087763,0.5458219713626672,0.10513978978094658,0.518098627105756,0.5883147980977176,0.5672740726108989,0.6614564831261102,0.5708926499961919,0.16127155596174353,0.2716451906657742,0.4638941761110055
fixed::factkb,fixed05,False,0.5,0.7182632880098887,0.729302249660624,0.5236795392379693,0.7038751737773593,0.6387588272550698,0.9656982557342385,0.4777383066903493,0.7628239955635212,0.059454985110261795,0.1828685447497643,0.177140819311919
fixed::factkb,mcc,True,0.49040211640211645,0.7054697156983931,0.7173345113424521,0.5098285083684095,0.6872498442853555,0.6121367593797641,0.977625531235096,0.44695085849615157,0.7628239955635212,0.059454985110261795,0.1828685447497643,0.17799200767665507
fixed::factkb,youden,False,0.65054864039322,0.7229604449938195,0.7314080079360614,0.4991282564137517,0.7152165403364408,0.669537741508765,0.8910629888875332,0.5388987566607459,0.7628239955635212,0.059454985110261795,0.1828685447497643,0.17660211158556038
fixed::factkb,conformal,False,0.7040990899556442,0.6578182941903584,0.6542981641351717,0.33106042869693175,0.6404116649705267,0.6903140188472745,0.6869251579919171,0.734517465956187,0.7628239955635212,0.059454985110261795,0.1828685447497643,0.1942005926885642
fixed::hhem,fixed05,False,0.5,0.6157601977750309,0.6316678167372974,0.37545666644119907,0.5672044137942491,0.42226225193564015,0.9806955348381905,0.2691533451746596,0.6652132912189332,0.12600455821570086,0.23292047338808194,0.38462708598148543
fixed::hhem,mcc,True,0.5257103858054282,0.6025030902348579,0.6190006020170057,0.35366617898698677,0.5464936155262942,0.3874967368451213,0.982355152795313,0.24304322084073418,0.6652132912189332,0.12600455821570086,0.23292047338808194,0.3851385369983903
fixed::hhem,youden,False,0.6468411477562542,0.6354449938195301,0.6503403520172928,0.4025115085470167,0.5961724982598855,0.4703717453628304,0.9711891234232018,0.3108940201302546,0.6652132912189332,0.12600455821570086,0.23292047338808194,0.38363694999149234
fixed::hhem,conformal,False,0.7336223988740872,0.517088998763906,0.49710765847533167,-0.012934912909618465,0.3743658149845067,0.6730177630824818,0.5204056093511759,0.9524570751924216,0.6652132912189332,0.12600455821570086,0.23292047338808194,0.32263289188844524
fixed::wecheck,fixed05,False,0.5,0.7008343634116192,0.7097528094445866,0.4570747408405994,0.6908147874822912,0.6368448395275557,0.8692668403323296,0.5065127294256957,0.7691233974119775,0.09245939729466607,0.19609301229997225,0.1899344941236679
fixed::wecheck,mcc,True,0.5380191849434516,0.69385043263288,0.7029999621108177,0.44893233571044944,0.6816078541234293,0.6233344612371099,0.8737408246177216,0.49449378330373,0.7691233974119775,0.09245939729466607,0.19609301229997225,0.19041853297380965
fixed::wecheck,youden,False,0.6542003367647322,0.698176761433869,0.7007207173072808,0.4061700033267166,0.6969519463979685,0.6890222345720342,0.7495643745446154,0.6427471876850206,0.7691233974119775,0.09245939729466607,0.19609301229997225,0.1899944812892924
fixed::wecheck,conformal,False,0.7900349340768162,0.6374227441285538,0.6288389682967053,0.28527168298818806,0.6117775706254648,0.7035894379382517,0.6197082057904146,0.8244523386619301,0.7691233974119775,0.09245939729466607,0.19609301229997225,0.2218114223210919
fixed::factcg,fixed05,False,0.5,0.7293572311495674,0.7376228480188359,0.5090913162451252,0.7223338054208249,0.6788172522572953,0.89226289327867,0.5492599171107164,0.7799788011939303,0.09607384923316317,0.1886244829316506,0.17683551830393004
fixed::factcg,mcc,True,0.5470569351460189,0.7288627935723115,0.7369943085855738,0.5075215893682452,0.7218060329698078,0.678817605522401,0.8898939518816137,0.5516873889875666,0.7799788011939303,0.09607384923316317,0.1886244829316506,0.17682959449830188
fixed::factcg,youden,False,0.6704109379824986,0.7292954264524105,0.7327295558201419,0.47288519857704336,0.7278934084656832,0.7156441147136015,0.7969246134256764,0.654470100651273,0.7799788011939303,0.09607384923316317,0.1886244829316506,0.17653287517868413
fixed::factcg,conformal,False,0.8245861155817331,0.6314276885043263,0.6225470294689812,0.27098770829112645,0.6055776605439752,0.700885314745299,0.6148586199531489,0.8249259917110715,0.7799788011939303,0.09607384923316317,0.1886244829316506,0.21948000664138462
fixed::minicheck_dbta,fixed05,False,0.5,0.5663164400494438,0.5834737338028531,0.2648212959331201,0.49870503552683526,0.3149873638255278,0.8982874582879672,0.19248075784487864,0.677404135585099,0.129627132929825,0.24016522159864545,0.32545015506380987
fixed::minicheck_dbta,mcc,True,0.43176408667343014,0.5573238566131027,0.5752477435843855,0.25709613634345774,0.4806536931633924,0.28130663264614386,0.9220814374858906,0.16678507992895203,0.677404135585099,0.129627132929825,0.24016522159864545,0.3268096616640635
